Date,Price,Open,High,Low,Volume,Chg%
"Apr 23, 2021","14,341.35","14,326.35","14,461.15","14,273.30",498.06K,-0.45
"Apr 22, 2021","14,406.15","14,219.15","14,424.75","14,151.40",524.63K,0.77
"Apr 20, 2021","14,296.40","14,526.70","14,526.95","14,207.30",467.40K,-0.44
"Apr 19, 2021","14,359.45","14,306.60","14,382.30","14,191.40",512.35K,-1.77
"Apr 16, 2021","14,617.85","14,599.60","14,697.70","14,559.00",577.23K,0.25
"Apr 15, 2021","14,581.45","14,522.40","14,597.55","14,353.20",567.96M,0.53
"Apr 13, 2021","14,504.80","14,364.90","14,528.90","14,274.90",605.05M,1.36
"Apr 12, 2021","14,310.80","14,644.65","14,652.50","14,248.70",650.22M,-3.53
