Date,Price,Open,High,Low,Volume,Chg%
"Apr 23, 2021",179.2,176.25,181.25,171.8,21.74M,2.14
"Apr 22, 2021",175.45,168.25,176.75,166.95,13.22M,2.66
"Apr 20, 2021",170.9,168,175.9,167.85,12.54M,2.92
"Apr 19, 2021",166.05,166.6,167.55,163,7.44M,-3.66
"Apr 16, 2021",172.35,174.5,175.5,171.6,6.10M,-1.18
"Apr 15, 2021",174.4,175.1,179.5,168.5,10.01M,-1.47
"Apr 13, 2021",177,173.15,179.65,171.9,13.15M,3.03
